"Lex Luthor","Alexander Joseph Lex Luthor is a fictional character, a supervillain appearing in comic books published by DC Comics. Luthor is the archenemy of Superman, and as a high-status supervillain, has also come into conflict with Batman and other superheroes in the DC Universe. Created by Jerry Siegel and Joe Shuster, the character first appeared in Action Comics #23. Luthor is described as a power-mad, evil scientist of high intelligence and incredible technological prowess. Luthors goals typically center on killing Superman, the foremost obstacle to achieving the villains megalomaniacal goals. Despite periodically wearing a powered exoskeleton, Luthor has traditionally lacked superpowers or a dual identity.
The character was originally depicted as a mad scientist who, in the vein of pulp novels, wreaks havoc on the world with his futuristic weaponry. In his earliest appearances, Luthor is shown with a full head of red hair. Despite this, the character later became hairless as the result of an artists mistake. A 1960 story by Jerry Siegel expanded upon Luthors origin and motivations, revealing him to be a childhood friend of Supermans who lost his hair when a fire destroyed his laboratory; Luthor vowed revenge."
"Pierre Trudeau","Joseph Philippe Pierre Yves Elliott Trudeau, PC CH CC QC FSRC, usually known as Pierre Trudeau or Pierre Elliott Trudeau, was the 15th Prime Minister of Canada from April 20, 1968 to June 4, 1979, and again from March 3, 1980 to June 30, 1984.
Trudeau began his political career as a lawyer, intellectual, and activist in Quebec politics. In the 1960s, he entered federal politics by joining the Liberal Party of Canada. He was appointed as Lester Pearsons Parliamentary Secretary, and later became his Minister of Justice. From his base in Montreal, Trudeau took control of the Liberal Party and became a charismatic leader, inspiring Trudeaumania. From the late 1960s until the mid-1980s, he dominated the Canadian political scene and aroused passionate reactions. Reason before passion was his personal motto. He retired from politics in 1984, and John Turner succeeded him as Prime Minister.
Admirers praise the force of Trudeaus intellect and salute his political acumen in preserving national unity against the Quebec sovereignty movement, suppressing a violent revolt, and establishing the Charter of Rights and Freedoms within Canadas constitution. Critics accuse him of arrogance, economic mismanagement, and unduly favouring the federal government relative to the provinces, especially in trying to distribute the oil wealth of the Prairies."
Punisher,"The Punisher is a fictional character, an antihero that appears in comic books published by Marvel Comics. The character was created by writer Gerry Conway and artists John Romita, Sr., and Ross Andru, with publisher Stan Lee providing the name. The Punisher made his first appearance in The Amazing Spider-Man #129.
The Punisher is a vigilante who employs murder, kidnapping, extortion, coercion, threats of violence, and torture in his war on crime. Driven by the deaths of his wife and two children, who were killed by the mob during a shootout in New York Citys Central Park, the Punisher wages a one-man war on the mob and all criminals in general by using all manner of conventional war weaponry. His familys killers were the first to be slain. A war veteran of the U.S. military, Frank Castle is a master of martial arts, stealth tactics, guerrilla warfare, and a wide variety of weapons.
The Punishers brutal nature and willingness to kill made him a novel character in mainstream American comic books in 1974. By the late 1980s, he was part of a wave of psychologically troubled antiheroes and was featured in several monthly publications, including The Punisher War Journal, The Punisher War Zone, and The Punisher Armory. Despite his violent actions and dark nature, the Punisher has enjoyed some mainstream success on television, making guest appearances on Spider-Man: The Animated Series and even The Super Hero Squad Show. In feature films, Dolph Lundgren portrayed the Punisher in 1989, as did Thomas Jane in 2004, and Ray Stevenson in 2008."
Flash,"The Flash is a name shared by several fictional comic book superheroes from the DC Comics universe. Created by writer Gardner Fox and artist Harry Lampert, the original Flash first appeared in Flash Comics #1.
Nicknamed the Scarlet Speedster, all incarnations of the Flash possess super-speed, which includes the ability to run and move extremely fast, use superhuman reflexes and seemingly violate certain laws of physics. Thus far, four different characters—each of whom somehow gained the power of super-speed—have assumed the identity of the Flash: Jay Garrick, Barry Allen, Wally West, and Bart Allen. Before Wally and Barts ascension to the mantle of the Flash, they were both Flash protégés under the same name Kid Flash.
The second incarnation of the Flash, Barry Allen, is generally considered the first hero of the Silver Age of comic books and the superhero has remained one of DCs most popular ever since. Each version of the Flash has been a key member of at least one of DCs premier teams: the Justice Society of America, the Justice League, and the Teen Titans. Wally West has recently rejoined the Justice League, and Barry Allen recently returned to life in the pages of Final Crisis."
Magneto,"Magneto is a fictional character that appears in comic books published by Marvel Comics. He has most often been the primary villain of the X-Men comics, as well as the TV shows and the films; although in the comics, he has been an ally and even member of the X-Men at times. The character first appears in X-Men #1, and was created by writer Stan Lee and artist Jack Kirby. A powerful mutant with the ability to generate and control magnetic fields, Magneto desired mutants to eventually dominate the human race as he viewed humans as an outdated species that no longer deserves its continual domination over the world. However, writers have since fleshed out his character and origin, revealing him to be a Jewish Holocaust survivor whose actions are driven by the purpose of protecting the mutant race from suffering a similar fate. His role in comics has varied from supervillain to antihero to superhero. His characters early history has been compared with the civil rights leader Malcolm X and Jewish ultranationalist Meir Kahane.
Sir Ian McKellen portrayed Magneto through the X-Men film series. Michael Fassbender plays a younger version of the character in the 2011 prequel X-Men: First Class, and the upcoming 2014 sequel X-Men: Days of Future Past. Magneto was ranked number 1 by IGNs Top 100 Comic Book Villains list, was listed number 17 in Wizards Top 100 Greatest Villains Ever list, and was ranked as the 9th Greatest Comic Book Character Ever in Wizards list of the 200 Greatest Comic Book Characters of All Time, the second highest villain on that list."
Robin,"Robin is the name of several fictional characters appearing in comic books published by DC Comics, originally created by Bob Kane, Bill Finger and Jerry Robinson, as a junior counterpart to DC Comics superhero Batman. The team of Batman and Robin is commonly referred to as the Dynamic Duo or the Caped Crusaders.
The first incarnation of the character, Dick Grayson, debuted in Detective Comics #38. Conceived as a vehicle to attract young readership, Robin garnered overwhelmingly positive critical reception, doubling the sales of the Batman related comic books. The early adventures of Robin included Star Spangled Comics #65-130, which was the characters first solo feature. As Robin, Dick Grayson made regular appearances in Batman related comic books and other DC Comics publications from 1940 through the early 1980s until the character set aside the Robin identity and became the independent superhero Nightwing.
Following the retirement of Dick Grayson as Robin, a new version of the character, Jason Todd, debuted in Batman #357. The new character made regular appearances in Batman related comic books until 1988, when the character was murdered by the Joker in A Death in the Family. Jason would later find himself alive after a reality changing incident, eventually becoming the Red Hood."
"Flash Gordon","Flash Gordon is the hero of a science fiction adventure comic strip originally drawn by Alex Raymond. First published January 7, 1934, the strip was inspired by and created to compete with the already established Buck Rogers adventure strip. Also inspired by these series were comics such as Dash Dixon by H.T. Elmo and Larry Antoinette and Don Dixon and the Hidden Empire by Carl Pfeufer and Bob Moore.
In Australia, the character and strip were retitled Speed Gordon to avoid a negative connotation of the word Flash. At the time, the predominant meaning of flash was showy, connoting dishonesty. In France, his adventures were published in Le Journal de Mickey, under the name Guy lÉclair. Dale Arden was named Camille in the French translation. In Spain, Mexico and some countries in Latin America, the strip is called Roldán el Temerario.
The Flash Gordon comic strip has been translated into a wide variety of media, including motion pictures, television and animated series. The latest version, a Flash Gordon television series, appeared on the United States Sci-Fi Channel in 2007–2008 and then on the United Kingdom Sci-Fi Channel. A print comic book series by Brendan Deneen and Paul Green and published by Ardden Entertainment debuted in 2008, with the first arc entitled The Mercy Wars. These were followed by further storylines."
Hellboy,"Hellboy is a fictional character, a comic book superhero created by writer-artist Mike Mignola. The character first appeared in San Diego Comic-Con Comics #2, and has since appeared in various eponymous miniseries, one-shots and intercompany crossovers. The character has been adapted into two live-action feature films in 2004 and 2008 that starred Ron Perlman in the title role, and two straight-to-DVD animated films, as well as two video games – Asylum Seeker and The Science of Evil.
A well-meaning demon whose true name is Anung Un Rama, Hellboy was summoned from Hell to Earth as an infant on December 23, 1944 by Nazi occultists. He was discovered by the Allied Forces; amongst them, Professor Trevor Bruttenholm, who formed the United States Bureau for Paranormal Research and Defense. In time Hellboy grew to be a large, red-skinned demon with a tail, horns, cloven hooves for feet, and an oversized right hand made of stone. He has been described as smelling of dry-roasted peanuts. Although a bit gruff, he shows none of the malevolence thought to be intrinsic to demons, has a strong sense of humor and works with other strange creatures in the BPRD. This is said to be because of his upbringing under Professor Bruttenholm, who raised him as a normal boy."
"Captain Marvel","Captain Marvel, also known as Shazam, is a fictional comic book superhero, originally published by Fawcett Comics and later by DC Comics. Created in 1939 by artist C. C. Beck and writer Bill Parker, the character first appeared in Whiz Comics #2. With a premise that taps adolescent fantasy, Captain Marvel is the alter ego of Billy Batson, a youth who works as a radio news reporter and was chosen to be a champion of good by the wizard Shazam. Whenever Billy speaks the wizards name, he is struck by a magic lightning bolt that transforms him into an adult superhero empowered with the abilities of six archetypal, historical figures. Several friends and family members, most notably Marvel Family cohorts Mary Marvel and Captain Marvel Jr., can share Billys power and become Marvels themselves.
Hailed as The Worlds Mightiest Mortal in his adventures, Captain Marvel was nicknamed The Big Red Cheese by arch-villain Doctor Sivana, an epithet later adopted by Captain Marvels fans. Based on sales, Captain Marvel was the most popular superhero of the 1940s, as his Captain Marvel Adventures comic book series sold more copies than Superman and the other competing books of the time. Captain Marvel was also the first comic book superhero to be adapted to film, in a 1941 Republic Pictures serial titled Adventures of Captain Marvel."
"Harvey Dent","Two-Face is a fictional character, a comic book supervillain who appears in comic books published by DC Comics, and is an enemy of Batman. The character first appeared in Detective Comics #66, and was created by Bob Kane. Two-Face was once Harvey Dent, the clean-cut district attorney of Gotham City and an ally of Batman. However, Dent goes insane after mob boss Sal Maroni throws acid at him during a trial, hideously scarring the left side of his face. Dent adopts the Two-Face persona and becomes a criminal, choosing to bring about good or evil based upon the outcome of a coin flip. Originally, Two-Face was one of many gimmick-focused comic book villains, plotting crimes based around the number two, such as robbing Gotham Second National Bank at 2:00 on February 2.
In his autobiography, Batman creator Bob Kane claims to have been inspired by Robert Louis Stevensons Strange Case of Dr Jekyll and Mr Hyde, specifically the 1931 film version which he saw as a boy. Some inspiration was also derived from the pulp magazine character the Black Bat, whose origin story included having acid splashed in his face. In later years, writers have portrayed his obsession with duality and fate as the result of schizophrenia, bipolar disorder, and multiple personality disorder. He obsessively makes all important decisions by flipping a two-headed coin, one side scratched over with an X. The modern version is established as having once been a personal friend and ally of Commissioner James Gordon and Batman."
"Doctor Strange","Doctor Stephen Vincent Strange is a fictional superhero who appears in comic books published by Marvel Comics. Doctor Strange is a former neurosurgeon, a practicing sorcerer, and serves as the Sorcerer Supreme, the primary protector of Earth against magical and mystical threats. Debuting in the Silver Age of comics, the character has featured in several self-titled series and Marvel-endorsed products including arcade and video games; animated television series; a direct-to-DVD film; and merchandise such as trading cards."
"Doctor Doom","Victor von Doom of Latveria is a fictional character that appears in publications by Marvel Comics. The son of a gypsy witch named Cynthia Von Doom, Doctor Doom is a recurring supervillain, archenemy of the Fantastic Four, and leader of the fictional nation of Latveria. He is both a genius inventor and a sorcerer, and has served as a primary antagonist and occasional protagonist in the Marvel continuity since his creation. While Dooms chief opponents have been the Fantastic Four, he has also frequently battled Spider-Man, Doctor Strange, the Avengers, the X-Men, the Punisher, Blade, Iron Man, and the Silver Surfer, among others.
Doctor Doom has been featured in other Marvel-endorsed media such as feature films, video games, television series and merchandise such as action figures and trading cards. Doom was ranked as the 4th Greatest Villain by Wizard on its 100 Greatest Villains of All Time list. IGNs list of the Top 100 Comic Book Villains of All Time ranked Doom as #3."
"Scrooge McDuck","Scrooge McDuck is a cartoon character created in 1947 by Carl Barks and licensed by The Walt Disney Company. Scrooge is an elderly Scottish anthropomorphic white duck with a yellow-orange bill, legs, and feet. He typically wears a red or blue frock coat, top hat, pince-nez glasses, and spats and is portrayed in animations as speaking with a slight Scottish accent, also sometimes known as a Scottish burr. His dominant character trait is his thrift, and within the context of the fictional Disney universe, he is the Worlds richest person.
Named after Ebenezer Scrooge from the 1843 novel A Christmas Carol, Scrooge is a wealthy Scottish business magnate and tycoon. He was in his first few appearances characterized as a greedy miser and antihero, but in later comics and animated shorts and the modern day he is more often portrayed as a charitable and thrifty hero, adventurer, explorer and philanthropist. Scrooge was created by Barks as a comic book character originally as an antagonist for Donald Duck, first appearing in the 1947 Four Color story Christmas on Bear Mountain. The character soon became so popular that McDuck became a major figure of the Duck universe. In 1952 he was given his own comic book series, called Uncle Scrooge, which still runs today. Scrooge was most famously drawn by his creator Carl Barks, and later by Don Rosa. Comics have remained Scrooges primary medium, although he has also appeared in animated cartoons, most extensively in the television series Duck Tales."
"Nick Fury","Colonel Nicholas Joseph Nick Fury is a fictional World War II army hero and present-day super-spy in the Marvel Comics Universe. Created by artist Jack Kirby and writer Stan Lee, Fury first appeared in Sgt. Fury and his Howling Commandos #1, a World War II combat series that portrayed the cigar-chomping Fury as leader of an elite U.S. Army unit.
The modern-day Fury, initially a CIA agent, debuted a few months later in Fantastic Four #21. In Strange Tales #135, the character transformed into a James Bond-like spy and leading agent of the fictional espionage agency S.H.I.E.L.D. The character makes frequent appearances in Marvel comic books as the former head of S.H.I.E.L.D. and as an intermediary between the U.S. government or the United Nations and various superheroes. It is eventually revealed that Fury takes a special medication called the Infinity Formula that halted his aging and allows him to be active despite being nearly a century old.
Nick Fury appears in several Marvel comic series set in alternate universes, as well as multiple animated films, television shows, and video games based on the comics. The character is portrayed by David Hasselhoff in the 1998 television movie Nick Fury: Agent of S.H.I.E.L.D. and by Samuel L. Jackson in the 2008 film Iron Man, its 2010 sequel Iron Man 2, the 2011 films Thor and Captain America: The First Avenger, and the 2012 film The Avengers; the first five films of a nine-film commitment as the character for the Marvel Cinematic Universe franchise. The Ultimate Marvel version of the character was based on Jacksons appearance and screen persona, well before he was cast in the role. In 2011, Nick Fury was ranked 33rd in IGNs Top 100 Comic Book Heroes."
"Silver Surfer","The Silver Surfer is a fictional character, a superhero appearing in comic books and other publications by Marvel Comics. Originally a young astronomer named Norrin Radd on the planet Zenn-La, he saved his homeworld from the planet devourer, Galactus, by serving as his herald. Imbued in return with a tiny portion of Galactuss Power Cosmic, Radd acquired vast power, a new body and a surfboard-like craft on which he could travel faster than light. Now known as the Silver Surfer, Radd roamed the cosmos searching for planets for Galactus to consume. When his travels took him to Earth, he met the Fantastic Four, a team of powerful superheroes who helped him rediscover his humanity and nobility of spirit. Betraying Galactus, the Surfer saved Earth but was exiled there as punishment. In 2011, IGN ranked Silver Surfer 41st in its Top 100 Comic Heroes list."
"Professor X","Professor Charles Francis Xavier is a fictional character, a superhero that appears in comic books published by Marvel Comics. He is known as the leader and founder of the X-Men.
Throughout most of his comic book history, Xavier is paraplegic, although his body houses one of the worlds most powerful mutant minds. As a high-level telepath, Xavier can read, control, and influence human minds. A scientific genius, he is also a leading authority on genetics, mutation, and psionic powers.
Sir Patrick Stewart has portrayed Professor X throughout the X-Men films, and the X-Men Legends games. James McAvoy portrays a younger version of the character in the 2011 prequel X-Men: First Class, and the upcoming 2014 sequel X-Men: Days of Future Past. His character has often been compared with Martin Luther King, Jr. during the civil rights struggle."
"Ghost Rider","Ghost Rider is the name of several fictional supernatural antiheroes appearing in comic books published by Marvel Comics. Marvel had previously used the name for a Western character whose name was later changed to Night Rider and subsequently to Phantom Rider.
The first supernatural Ghost Rider is stunt motorcyclist Johnny Blaze, who, in order to save the life of his mentor, agreed to give his soul to Satan. At night and when around evil, Blaze finds his flesh consumed by hellfire, causing his head to become a flaming skull. He rides a fiery motorcycle and wields trademark blasts of hellfire from his skeletal hands. He eventually learns he has been bonded with the demon Zarathos. Blaze starred in the series from 1972–1983. The subsequent Ghost Rider series featured Danny Ketch as a new Ghost Rider. After his sister was injured by ninja gangsters, Ketch came in contact with a motorcycle that had somehow been mystically enchanted to contain the essence of a Spirit of Vengeance. Blaze reappeared in this 1990s series as a supporting character. In 2000s comics, Blaze again became the Ghost Rider, succeeding Ketch.
Nicolas Cage and Matt Long played Johnny Blaze in the 2007 film Ghost Rider. Cage reprised the role in the sequel Ghost Rider: Spirit of Vengeance in 2012."
Deathstroke,"Deathstroke the Terminator is a fictional comic book supervillain, and sometimes antihero, who appears in books published by DC Comics. Created by writer Marv Wolfman and artist George Pérez, he is a mercenary and assassin who first appeared in The New Teen Titans #2. Wizard Magazine rated him the 84th greatest villain of all time and the 72nd greatest comic book character of all time. Also, in 2009, Deathstroke was ranked as IGNs 32nd greatest comic book villain of all time."
Galactus,"Galactus is a fictional character, a cosmic entity that appears in comic books and other publications published by Marvel Comics. After debuting in the Silver Age of Comic Books, Galactus has appeared in over four decades of Marvel continuity, as well as starring in a one-shot publication Super-Villain Classics: Galactus the Origin #1, and the limited series Galactus the Devourer. The character has been featured in other Marvel-endorsed products and merchandise such as arcade games, video games, animated television series, action figures, trading cards, and a 2007 film Fantastic Four: Rise of the Silver Surfer.
In 2009, Galactus was ranked as number five on the pop culture site IGN.coms list of Top 100 Comic Book Villains."
"Jean Grey","Jean Grey-Summers is a fictional character, a comic book superheroine who appears in comic books published by Marvel Comics. She has been known under the aliases Marvel Girl, Phoenix, and Dark Phoenix and is best known as one of the founding members of the X-Men, for her relationship with Cyclops, and for her central role and transformation in the classic X-Men storyline The Dark Phoenix Saga.
Jean Grey is a mutant born with telepathic and telekinetic powers. Her powers first manifested when she saw her childhood friend being hit by a car. She is a caring, nurturing figure, but she also has to deal with being an Omega-level mutant and the physical manifestation of the cosmic Phoenix Force. She has faced death numerous times in the history of the series, the first being when, in her guise as Marvel Girl, she died and was reborn as Phoenix, which in time led to her second - though not last - death in the classic Dark Phoenix Saga.
Jean is an important figure in the lives of other Marvel Universe characters, mostly the X-Men, including her husband Cyclops; her mentor and father figure Charles Xavier; her close friend and sometimes romantic interest Wolverine; her best friend and sister-like figure Storm; and her genetic children Rachel Summers, X-Man, Cable, and Stryfe."
"Kitty Pryde","Katherine Anne Kitty Pryde is a fictional character that appears in comic books published by Marvel Comics. The character first appeared in Uncanny X-Men #129 and was created by writer-artist John Byrne.
A mutant, Pryde possesses a phasing ability that allows her and objects or people with which she is in contact to become intangible. This power also disrupts any electrical field she passes through, and lets her simulate levitation. At the time of her membership, under the codename Sprite, Pryde was the youngest person invited to join the team of mutant superheroes the X-Men. Her current codename is Shadowcat.
During her early years, she was portrayed as a kid sister to many older members of the X-Men, filling the role of literary foil to the more established characters. In the years since her introduction, she has aged and matured, and has become a main character on her own.
Kitty Pryde was portrayed by three separate actresses in the X-Men film series. Sumela Kay and Katie Stuart had brief cameos as Kitty Pryde in the 2000 film X-Men and the 2003 sequel X2: X-Men United, respectively. In 2006, Ellen Page portrayed Kitty Pryde as a main character in the third installment of the film trilogy, X-Men: The Last Stand, and is set to portray her again in X-Men: Days of Future Past."
